"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/PolygonOffice/Materials/Mat_PolygonOffice_01_A.Mat_PolygonOffice_01_A","0","33","3","1","25.894327","0","222"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/PolygonCityChar/Materials/Mat_Polygon_City_Char_01.Mat_Polygon_City_Char_01","0","24","2","1","14.176778","0","240"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/PolygonTown/Materials/Mat_PolygonTown_01_A.Mat_PolygonTown_01_A","0","33","4","1","20.708044","0","229"
"/Game/PolygonOffice/Materials/Misc/Mat_PolygonOffice_Screen_05.Mat_PolygonOffice_Screen_05","0","21","5","1","17.649778","0","70"
"/Game/Triage/Blueprints/Camera2_Mat.Camera2_Mat","0","12","7","1","9.868044","0","33"
"/Game/Triage/Blueprints/Camera1_Mat.Camera1_Mat","0","12","12","1","8.932551","0","17"
"/Game/PolygonOffice/Materials/Misc/Mat_PolygonOffice_Screen_02.Mat_PolygonOffice_Screen_02","0","21","7","1","17.332645","0","53"
"/Game/Triage/Blueprints/OutlineMAT.OutlineMAT","0","4","4","1","1.688382","0","5"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_01_A.Mat_PolygonCity_Texture_01_A","0","54","5","1","31.988523","0","225"
"/Game/Triage/AntonioLevel/materialsAssets/WALL.WALL","0","21","21","1","17.549877","0","32"
"/Game/Triage/Assets/Phone/Body_base.Body_base","0","12","12","1","11.470942","0","16"
"/Game/Triage/AntonioLevel/materialsAssets/walltrim.walltrim","0","21","10","1","16.069267","0","61"
"/Game/Triage/AntonioLevel/materialsAssets/wall_linbe.wall_linbe","0","21","10","1","14.787460","0","62"
"/Game/Triage/AntonioLevel/materialsAssets/red.red","0","21","10","1","18.811663","0","62"
"/Game/Triage/AntonioLevel/materialsAssets/glass.glass","0","40","1","1","30.480642","0","143"
"/Game/Triage/AntonioLevel/materialsAssets/floor.floor","0","21","2","1","17.789461","0","53"
"/Game/Triage/AntonioLevel/materialsAssets/ceiling_2.ceiling_2","0","21","3","1","15.437094","0","55"
"/Game/Triage/AntonioLevel/materialsAssets/asphalt.asphalt","0","21","10","1","18.323996","0","59"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/PolygonOffice/Materials/Misc/Mat_PolygonOffice_Screen_Arcade_01.Mat_PolygonOffice_Screen_Arcade_01","0","33","10","1","22.515724","0","110"
"/Game/PolygonOffice/Materials/Misc/Mat_PolygonOffice_Screen_01.Mat_PolygonOffice_Screen_01","0","33","10","1","25.727270","0","116"
"/Game/PolygonOffice/Materials/Mat_PolygonOffice_Glass.Mat_PolygonOffice_Glass","0","40","10","1","39.471233","0","130"
"/Game/PolygonCityChar/Materials/Mat_Polygon_City_Char_04.Mat_Polygon_City_Char_04","0","24","10","1","18.258739","0","62"
"/Game/PolygonCityChar/Materials/Mat_Polygon_City_Char_03.Mat_Polygon_City_Char_03","0","24","6","1","25.187052","0","62"
"/Game/PolygonCityChar/Materials/Mat_Polygon_City_Char_02.Mat_Polygon_City_Char_02","0","24","10","1","17.377312","0","90"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Glass_Car_Windows.Mat_PolygonCity_Glass_Car_Windows","0","68","5","1","264.255402","0","495"
